Id,Sales
1,12114.6
2,11069.2
3,12072.9
4,11292.4
5,12072.9
6,11069.2
7,9271.4
8,9271.4
9,10958.0
10,11292.4
11,9309.8
12,12072.9
13,9271.4
14,10958.0
15,10441.2
16,11069.2
17,10958.0
18,9271.4
19,12114.6
20,11069.2
21,12111.3
22,11292.4
23,12111.3
24,11069.2
25,12072.9
26,9309.8
27,9271.4
28,10958.0
29,11069.2
30,11069.2
31,9309.8
32,9271.4
33,10958.0
34,10958.0
35,12114.6
36,9271.4
37,11292.4
38,12111.3
39,10958.0
40,9271.4
41,9309.8
42,12072.9
43,9309.8
44,9271.4
45,9271.4
46,11069.2
47,10441.2
48,9309.8
49,10958.0
50,12072.9
51,9271.4
52,10441.2
53,13242.7
54,11069.2
55,11069.2
56,12072.9
57,11069.2
58,12111.3
59,12111.3
60,9309.8
61,11069.2
62,10958.0
63,11292.4
64,11069.2
65,11069.2
66,12072.9
67,11069.2
68,11069.2
69,11069.2
70,12114.6
71,12114.6
72,11069.2
73,12111.3
74,9309.8
75,10441.2
76,10958.0
77,9309.8
78,11069.2
79,9271.4
80,11069.2
81,12111.3
82,12072.9
83,12072.9
84,9309.8
85,11069.2
86,12111.3
87,9309.8
88,11292.4
89,12111.3
90,12072.9
91,10958.0
92,12072.9
93,11069.2
94,10958.0
95,10958.0
96,9309.8
97,11069.2
98,12114.6
99,12337.8
100,9309.8
101,10958.0
102,9271.4
103,11292.4
104,11069.2
105,9271.4
106,10441.2
107,11069.2
108,10958.0
109,12072.9
110,11069.2
111,8879.3
112,12111.3
113,10958.0
114,13242.7
115,11069.2
116,11069.2
117,12111.3
118,10958.0
119,12072.9
120,9309.8
121,10958.0
122,12111.3
123,12072.9
124,9309.8
125,11069.2
126,11069.2
127,9271.4
128,11069.2
129,10958.0
130,11292.4
131,11069.2
132,11069.2
133,11069.2
134,12114.6
135,11069.2
136,12072.9
137,10958.0
138,11292.4
139,9309.8
140,11069.2
141,12111.3
142,11292.4
143,12072.9
144,10958.0
145,10958.0
146,11069.2
147,11292.4
148,9309.8
149,11069.2
150,9309.8
151,12072.9
152,12337.8
153,9309.8
154,11069.2
155,10958.0
156,12111.3
157,11069.2
158,9271.4
159,11069.2
160,9271.4
161,10958.0
162,12072.9
163,9309.8
164,10958.0
165,10958.0
166,12114.6
167,12114.6
168,9271.4
169,11292.4
170,11069.2
171,12111.3
172,9309.8
173,11069.2
174,11069.2
175,9309.8
176,9309.8
177,12111.3
178,9309.8
179,11069.2
180,10958.0
181,11292.4
182,11069.2
183,12111.3
184,12111.3
185,10958.0
186,11069.2
187,10958.0
188,12072.9
189,12337.8
190,9309.8
191,9271.4
192,12111.3
193,10958.0
194,12072.9
195,9309.8
196,9271.4
197,10958.0
198,10441.2
199,9271.4
200,11069.2
201,16478.7
202,17098.2
203,9271.4
204,11069.2
205,12337.8
206,11292.4
207,12072.9
208,11069.2
209,12072.9
210,19949.7
211,10958.0
212,9309.8
213,12072.9
214,9309.8
215,9309.8
216,12111.3
217,11069.2
218,10958.0
219,11069.2
220,12114.6
221,10958.0
222,10958.0
223,11069.2
224,11069.2
225,11069.2
226,11069.2
227,11292.4
228,10958.0
229,12111.3
230,9271.4
231,12072.9
232,9309.8
233,11292.4
234,11292.4
235,10441.2
236,11069.2
237,11069.2
238,10958.0
239,9271.4
240,12072.9
241,10958.0
242,11069.2
243,12072.9
244,10958.0
245,10958.0
246,9271.4
247,12072.9
248,9309.8
249,9271.4
250,10958.0
251,11069.2
252,10795.5
253,9271.4
254,9271.4
255,12072.9
256,9309.8
257,21155.2
258,11292.4
259,9309.8
260,9271.4
261,9271.4
262,12072.9
263,11292.4
264,9309.8
265,10958.0
266,9271.4
267,11069.2
268,12072.9
269,9309.8
270,11069.2
271,10958.0
272,11292.4
273,9309.8
274,19949.7
275,12111.3
276,12072.9
277,9309.8
278,11069.2
279,12111.3
280,13242.7
281,9271.4
282,12114.6
283,12111.3
284,9309.8
285,12111.3
286,10958.0
287,9309.8
288,9309.8
289,9309.8
290,9271.4
291,12072.9
292,10958.0
293,11292.4
294,12072.9
295,10958.0
296,9309.8
297,12114.6
298,11069.2
299,12072.9
300,11292.4
301,11069.2
302,12111.3
303,10958.0
304,11292.4
305,9271.4
306,10441.2
307,11292.4
308,11292.4
309,9271.4
310,11069.2
311,9309.8
312,11069.2
313,12114.6
314,9309.8
315,12337.8
316,12111.3
317,9309.8
318,12072.9
319,9309.8
320,12111.3
321,12072.9
322,9271.4
323,11069.2
324,9309.8
325,10441.2
326,12072.9
327,9309.8
328,12111.3
329,11069.2
330,9271.4
331,10958.0
332,9309.8
333,12111.3
334,12111.3
335,11292.4
336,12072.9
337,11069.2
338,11069.2
339,10958.0
340,10958.0
341,12114.6
342,11069.2
343,11069.2
344,12072.9
345,12072.9
346,9271.4
347,12114.6
348,11069.2
349,9271.4
350,12072.9
351,12111.3
352,12072.9
353,9309.8
354,12114.6
355,11069.2
356,9309.8
357,11069.2
358,12111.3
359,12072.9
360,12072.9
361,13242.7
362,12072.9
363,10958.0
364,13242.7
365,11069.2
366,11069.2
367,10958.0
368,10441.2
369,12072.9
370,9309.8
371,11069.2
372,9309.8
373,12072.9
374,11292.4
375,9309.8
376,11069.2
377,9309.8
378,10958.0
379,12072.9
380,11069.2
381,10441.2
382,9309.8
383,12072.9
384,11069.2
